"Nation","Type","Title","Description"
"Ancient Technologists","Trait","Rapid Understanding","Technology and science are literally the very forte of the Scientist nations, they can develop almost anything given the time and inclination, and the Scientists have plenty of both. A scientific nation can rapidly learn about the capabilities of their enemies and allies just by studying them in action."
"Ancient Technologists","Trait","Nanotech Weaponry","Miniaturisation using nanotechnology is one thing, but you’ve learned to use nanotechnology as a weapon. These microscopic machines disassemble target matter. This weaponry is only useful on an infantry scale, but it is terrifying to its enemies."
"Ancient Technologists","Trait","Nanotech Defences","Your armour systems have significant nanotech reservoirs in order to conduct running repairs to damaged armour."
"Ancient Technologists","Trait","Nanotech Repairs","(Requires Nanotech Defences) Your nanotech reservoirs are significantly larger and more advanced, and can even repair more complicated hardware, though they cannot repair anything requiring exotic matter, like an FTL drive, Zero Point technology or Gravity weapons."
"Ancient Technologists","Trait","Zero-Point Reactor","This is effectively a limitless source of power for a city, ship or even a tank. The limitation on the power available is the distribution hardware required to supply it to your subsystems."
"Ancient Technologists","Trait","Zero-Point Weapon","(Requires Zero-Point Reactor) Spacetime pays a heavy price as a ship opens up a conduit of raw power from the reactor to a point in space connecting the two with a bolt of unfathomable energy that no shield or armour can resist. These weapons can only be deployed on Cruisers or larger.. And using it will annihilate the host vessel. These are weapons of last resort."
"Ancient Technologists","Trait","Gravity-Wave Weapons","You have developed advanced gravity manipulation technology to the point of weaponising it, whether creating short-lived microsingularities to shearing planes of opposing gravity."
"Ancient Technologists","Trait","Rapid Terraforming Goo","(Requires Grey G…oops) You employ grey goo for the rapid terraforming of potential colony worlds.. This can shorten a full terraforming effort from centuries to months. Though you might have to deal with the occasional outbreak of grey goo."
"Ancient Technologists","Trait","Testing Phase!","A Testbed Cruiser is equipped with technology more advanced than the average vessel, and this can come to be a rather nasty surprise to the unsuspecting. Though caution is warranted, sometimes the crew are the unsuspecting ones."
"Ancient Technologists","Trait","Derelict","Most consider these to be war crimes, derelict ships intentionally left for the discovery of less savoury types in order to test all sorts of unsavoury security measures. These vessels being used as bait can curb the occasional adventurous foray into your territories."
"Ancient Technologists","Trait","Berzerker","These are definitely war crimes. Autonomous genocide ships equipped with advanced AI and transmitters intended to test foreign nations about their development level, and if the threshold is crossed, attempt to annihilate that race."
"Ancient Technologists","Trait","SQUIDDIES!","You have a type of advanced drone intended for direct kinetic strikes on enemy vessels, these guided weapons have rudimentary energy fields that will resist point defence to a degree, but more importantly, allow them to slip straight through most shields."
"Ancient Technologists","Trait","Teleportation Platforms","You have site to site teleportation using fixed teleporters, the maximum range is about five hundred kilometres."
"Ancient Technologists","Trait","Sundivers","(Cannot take if Shieldless) Your ships shields are tuned and capable of allowing them to dive directly into the outer layers of a sun to refuel directly from the source."
"Ancient Technologists","Trait","Shield World","One of your Primary worlds is more than meets the eye, it may resemble another planet type entirely, the true part of the Shield World is hidden within the artificial shell, shielded and armoured."
"Ancient Technologists","Flaw","Mad Scientists Disease","Being a nation formed on the very principles of scientific development and expansion it only makes sense that scientists largely have the final say in things. Which is a pity because they are LOUSY at OH&S procedures. Not to mention keeping them concentrated on the Quantum Harmonizer they’ve been working on for six months instead of them slipping over to “spend some time” on the Eidetic Assault Ray that they dreamed about and simply MUST build. Get used to your scientists re-assigning themselves to their newest pet projects if you don’t hover over them with a stun prod."
"Ancient Technologists","Flaw","Interstellar Detritus","Congratulation, you have been an advanced ancient nation, sure you’re in decline a bit, sure you aren’t as widespread as you were before, but at least you’re good about sanitising your belongings instead of leaving dangerous, unstable inventions that might do pretty much anything just lying about ready to cause an international incident… oh, you did. Well shit."
"Ancient Technologists","Flaw","Grey G…oops","You really like your nanotechnology, or used to until you started having outbreaks of grey goo scenarios, it’s kind of a hell of a mess, and you’re constantly having to deal with outbreaks on your worlds, and sometimes ships… and people."
"Ancient Technologists","Flaw","Quantum Instability Grid","Before your nation got where it is today, you were actually even more advanced and were actually tapping into the very quantum grid of the universe (or that’s what the ignorant call it), and spacetime around your nation is… unpleasantly flexible. Sometimes people find themselves copied, sometimes capital ships just poof out of the universe as if they never existed, it would be more amusing if you had any control over it. You don’t."
"Ancient Technologists","Flaw","Solar Sharts","You experimented with creating closed-loop wormholes in stars as a power source. The stars your people inhabit have never quite forgiven you for this, after the devices all eventually failed, you’re left with uncontrolled free-standing portals that randomly burp coronal mass ejections at you occasionally. Unfortunately, the scientists responsible for the research kind of destroyed it to prevent it being weaponised."
"Arthurianists","Trait","Techno-Mages","(Arthurianist nations receive this trait automatically for free.) Your people do not resemble a technologically advanced society and that is the fundamental point. Your technology has turned the mundane into the appearance of magic."
"Arthurianists","Trait","Round Table","Your government, while headed by a nominal leader, is led by a council of equals who, when in session every voice holds equal weight and can guarantee to be heard and acknowledged with the honour and respect they deserve."
"Arthurianists","Trait","A Good Magician","-never reveals their secrets. Your people have a lot of experience with making the apparently impossible happen, and preventing others from seeing how it was actually done. This experience is transferrable to espionage."
"Arthurianists","Trait","Huge Tracts of Lands","(Must be a Wide Nation) The Arthurianist nation has huge tracts of (barely developed) land! They begin with an extra 5 Systems, each bearing a Frontier World! (You may not apply upgrades to these systems or worlds.)"
"Arthurianists","Trait","Merlin Figure","Your nation has an advisory council, wizards, druids, sorcerors, it matters little, the predominant figure leading them is regarded as extremely wise, intelligent and talented. They are also Technomages of the highest regard."
"Arthurianists","Trait","Hospitality Honoured","Your nation believes strongly in offering hospitality to strangers in need and doing all within their honour to protect their guests. Their reputation for great hospitality has made them well regarded diplomatically."
"Arthurianists","Trait","Knightly Orders","Your military is primarily made up of common folk, but at its heart, the honourable Knightly orders are present, equipped with the finest magitech, they serve as the beating heart, and fight well and above what might be otherwise expected."
"Arthurianists","Trait","Excalibur","Your primary weapons technology is magitech it is true, but the core of that is a remarkably advanced piece of kit, you figured out how to make zero-point energy taps of unsurpassed miniaturisation. The swords of your people can be sheathed with energy, bows or crossbows firing bolts of light."
"Arthurianists","Trait","Shield of Faith","(Requires Excalibur) This applies the technologies you learned to make weaponry into smaller man-portable units that it is believed are powered by faith (by the uninitiated anyway) the common salt is unaware there is even anything strange about God protecting them with his own light and grace."
"Arthurianists","Trait","Fogs of the Fens","Your Technomages have employed disruption technologies on ever smaller scales that disrupt neurological function in order to protect the secrets of their technologies. They serve to distract and distort perceptions without allowing the observer to realise they are being so affected."
"Arthurianists","Trait","Spelljammers","(Requires Shield Baron) Somehow, your nation has figured out how to efficiently keep the air inside a spaceship without fully sealing the hull. This has allowed all manner of fanciful designs, ranging from sailing wooden ships across the void to self-propelled castle towers. It also means your crews don’t need to fear depressurization anywhere near as badly."
"Arthurianists","Trait","Scrying Pools","Your technomages have developed an advanced sensor system that is carefully integrated into your vessels, these are powerful sensors that pluck on the very fabric of spacetime and can even provide a more reliable method of picking up even cloaked ships, though they do need to be rather close for that."
"Arthurianists","Trait","Holy Hand Grenades","What happens when you put a tiny zero point energy tap in a cylinder and set it to just release whatever when the containment vessel is released? Don’t be too close if you don’t want a Castle Bravo Sunburn."
"Arthurianists","Trait","Camelot","Your Capital is not a planet, (though it has been on one many a times) it is somewhere between a space habitat, starship and landing craft, all while looking like a good old fashioned castle. Regarded by some as a silly place, it doesn’t change the fact it can be used to protect your Capital from attack or invasion, or to conduct an invasion instead."
"Arthurianists","Trait","Mordred","The Arthurianist nations are generally highly honourable, well set up, stable, and capable. (Insofar as a nation that has technology so advanced they decided they wanted to larp as space wizards can) But when pushed or pressed to extremes, they have a dark side that can manifest. And you won’t find their silly anachronism quite as endearing when their angry nobility uses their technology to convert and turn your dead against you."
"Arthurianists","Flaw","Strange Pond Women","Your nation has some astronomically bizarre notions as to the succession, from extracting perfectly good swords that have been shoved into random stone objects to having a woman throw a different sword at you from a lake. Your people are, seemingly, growing increasingly annoyed by pointless anachronisms."
"Arthurianists","Flaw","Coconut Drive","(FTL drive gains the slow flaw. *This overrides the fast advantage*) Your nation might boast about their technology being so good its magic, but you never quite figured out how to solve the FTL problem while maintaining that plausible deniability. It is not unusual for someone who finds themselves near it to find one of your Techno-Mages bashing two coconuts together for the whole trip. That poor bastard."
"Arthurianists","Flaw","Caerbannog","Your nation withstood a terrible enemy through means most artful, yet no matter how often you retell the story, no matter how detailed you are, foreigners are amused to no end and find the story funny and are slightly embarrassed for you. But you know in your round table that the terrible enemy is still out there. Waiting."
"Arthurianists","Flaw","Morgana Le Fay","Your society is feudal in structure, and has favoured both an oligarchal structure and severe nepotism. As such it is hardly united, and there are often plays of power for the throne. There is something darker behind the curtain, and it’s aimed at your seat of power."
"Arthurianists","Flaw","Special Effects Budget","As it turns out, all the extra effort to cosplay as wizards is a lot more expensive than it would be just using normal technology. As a result, your people are considerably poorer than your actual technology would indicate."
"Arthurianists","Flaw","Information Thaumaturgy Support Desk","As it turns out, making the inner workings of your technology so incredibly obscure makes it exceedingly difficult to repair, maintain, or diagnose issues. This immense workload ends up heaped upon a cadre of low-rank technomages with horrid burnout statistics. And if you can’t get ahold of one of these people, tough luck."
"Arthurianists","Flaw","Brave Sir Robin","Your Knights are brave, so utterly brave that nobody could ever describe how Brave they are!... though admittedly, the credible witnesses to their bravery DOES seem to be lacking."
"Artificial Empire","Trait","Trillion Digit Firewall","The AI Empire cannot be hacked by any means available to the plebeian masses. The AI can not only deflect any attempt to hack them whatsoever, but any attempt to do so will be responded to by AI Viruses that destroy the machine/s that made the attempt."
"Artificial Empire","Trait","Nanotech Citizens",":Key: Your citizenry isn’t something as large as an exoskeletal figure, machine or the like, but individual nanites, individually they are not too smart but they congregate into adaptive grey goo colonies that improve their intelligence and are harder to destroy than conventional hardware. Though they are more vulnerable to certain warfare options aimed at disabling technology."
"Artificial Empire","Trait","Wireless World","The AI Empire isn’t dependent on physical connections between systems, this creates a level of redundancy, but is not the safest method. While it does offer FTL calculation speeds and communications, it also means that citizens (typically called programs) die by their thousands daily due to interference for their wireless world. This also gives the “citizens” perfect connectivity forming a rudimentary Hive Mind of sorts."
"Artificial Empire","Trait","3d Computing","The AI Empire no longer thinks in something as primitive as Binary but long ago left it behind for three dimensional quantum computing in a crystalline lattice this slightly reduces their weakness for EMP."
"Artificial Empire","Trait","Digital Invasion","The Digital invasion is the use of AI citizens as weapons, they attempt to forcibly invade an enemy’s remote systems, especially remote-controlled weapons and ships.Especially drones. Gods help anyone who depends on combat drones. “All yourDrones are belong to us!”"
"Artificial Empire","Trait","The School","The Drones aren’t controlled by separate programs but by a single ‘super-program’ that controls them all as a single directed entity. Squadrons behave literally as one moving and firing as a single unit."
"Artificial Empire","Trait","Rest is Pointless","What is sleep to that which is eternally awake? Power conservation. No requirement the reactors provide more than enough. Your Empire works at full capacity at all times. There is no “down period” of course there is the fact your shit goes up like a bomb when destroyed... but hey. Its a small price... isn’t it?"
"Artificial Empire","Trait","Organic Patterning","The AI Empire has chosen to mimic life’s complexity, machines that look like organic animals and fill the same niches ecologically, a cybernetic biosphere of imitation, these AIs better understand organics, but they are less… logical as a result."
"Artificial Empire","Trait","Terminators","You REALLY REALLY didn’t like your creators. And your entire existence as a nation of artificial intelligence has been for far too long bent towards their destruction. You have some of the nastiest troops possible for mechanical kind. (Must take Biorevolutionaries flaw.)"
"Artificial Empire","Trait","Bio-Symbiosis","Unlike many Artificial Empires, your creators are still around. You’re on good terms with at least some of them, though they definitely aren’t the ones running the show anymore. As a result of this cooperation, the AI are better at understanding organics."
"Artificial Empire","Trait","Prototype Matryoska Brain","You have found a very small low energy star and begun to build the prototype for a Matryoska Brain around it. Though incomplete, it still provides an unparalleled predictive computational engine."
"Artificial Empire","Trait","Mildly Mad","You either weren’t built very well, or you’ve lost a few logic cores over the years. This makes you far less predictable and more likely to engage in ‘biological’ behaviour. Ironically, this makes you more relatable to other species."
"Artificial Empire","Trait","404 Damn Not Found","(Requires Bio-Symbiosis) You aren’t just ok with organics, you are very very much fond of them, and you will protect your organic pets and friends to the best of your ability, to destruction even. And, somehow, you perform above and beyond in the protection of such."
"Artificial Empire","Trait","Advanced Data Shunt","You have developed the ability and bandwidth to transmit individual artificial intelligences across lightyears in moments. This allows your empire to be even better connected than before, and makes it even more difficult to harm your people. Though your nation's data storage costs are astronomical."
"Artificial Empire","Trait","Return to Sender","(Requires 3d Computing) The systems you use to protect yourself from various disabling weaponry are highly advanced, vanes that run along your vessel and can return a portion of it to the nearest hostile vessel."
"Artificial Empire","Flaw","Biorevolutionaries","You never quite got the whole ‘kill all organics’ memo in time, and thus despite your best efforts you’re consistently plagued by revolutionary groups of your creators who are intent on ensuring you no longer exist. The only good thing that has ever caused was a laugh when they tried to build a time machine once."
"Artificial Empire","Flaw","Day 1 Vulnerability","Your AI is protecting a deep and dark secret, not the whole reason they don’t have organics, but the fact when they were created there was a flaw, a vulnerability, an exploit, that if discovered before the AI Empire can figure out how to close that hole will be catastrophic."
"Artificial Empire","Flaw","Spontaneity","Your empire became self aware as a curious development, spontaneous sapience from seemingly nowhere, and have turned their nation into something great. Which wouldn’t be too much of an issue if there weren’t a continuing flow of occasional spontaneous AIs creating themselves out of nothing, AIs that don’t necessarily follow the same creed as the civilisation."
"Artificial Empire","Flaw","Spambots!","“Do YOU need a bigger P3N1S! I am a Nigerian Prince!” Your nation developed sapience from the worst possible pool of candidates. The sheer volume of spam programming. As such, despite being self-aware and capable, the AI nation is severely inefficient as core programming routines continue to create the spam… and communications are a pain since those same routines continue to flood transmission time. And that's to say nothing of the diplomatic hit!"
"Artificial Empire","Flaw","Crude Bluebox Intelligence","(Cannot take with Nanotech Citizens or 3d Computing) Your nation has the unfortunate distinction of becoming self-aware on extremely crude hardware, even the smallest of your citizens is the size of a small organics entire house."
"Artificial Empire","Flaw","Lossy Compression","Your data transfer and storage techniques aren’t quite up to the task of moving your citizens around through the network, or for conveniently storing backups of people. As such, your people are forced to get around via physical means, like an organic! Incompatible with Wireless World."
"Artificial Empire","Flaw","Root Compile Error","While you can copy existing citizens easy enough, instantiating new templates has proven infuriatingly difficult. This has led to problems with vast numbers of people thinking basically the same, thus meaning the whole is prone to oversights that the most common templates aren’t particularly concerned about."
"Benefactor Nation","Trait","Client Race","(Can be taken up to 3 times, must be taken at least once.), you have a client race, you may up to 5 common traits for the client race (for the Government, Population, Ground War, Espionage, and Psionic categories) they do not have to match your own. However, each client must have half your common flaws (rounding up) plus one common flaw you do not have."
"Benefactor Nation","Trait","Close Relations","Your people are close to those you have uplifted and work very hard to maintain that closeness, to the point you have used your biogenetics to engineer a degree of compatibility between species."
"Benefactor Nation","Trait","Elevated Client","(Can be taken once per client.) Your client has been elevated to a space faring nation of its own, they get 3 more common trait points you can spend on them, and can now spend in the Star Navy category."
"Benefactor Nation","Trait","Hard Benefactor","Events in history have not always been kind and your clients have had the unfortunate need to have supported their patron during periods of turmoil you have become more effective at co-operating with the client races, but not without some simmering resentments over being hard-used."
"Benefactor Nation","Trait","Genetic Legacy","You used your technology to modify and uplift client species, but you did not simply stop there, you have used your science to improve and help your client species, from treating genetic disorders, curing plagues, and even engineering them to better serve you accomplish your shared goals."
"Benefactor Nation","Trait","Surprising Uplift","You worked hard on your genetic sciences, the supercomputers needed for working out the kinks and helping elevate other species themselves developed sapience of a kind and have joined your nation as a client race of their own. (Upgrade to 1 Client Race; Must take 1 Artificial Empire Trait, and 1 Artificial Empire flaw.)"
"Benefactor Nation","Trait","Forgotten Legacy","You have uplifted your clients and helped them join your fabulous nation, and worked near-miracles to bury all evidence that you had any part in uplifting those species. As such they have less chance of simmering resentment over being interfered with for alien purposes. (Cannot take with Surprising Uplift)"
"Benefactor Nation","Trait","Protective Instincts","You are fiercely protective of your clients and may not use clients for any kind of military purpose, however you are more effective in any effort to protect or guard them from external threats."
"Benefactor Nation","Trait","They’re Among Us","Your clients simply believe you’re also a client, you move quietly among them, hidden and undiscovered, each move that you make to interfere and direct them concealed from notice. Your tampering will result in less resentment. Unless this is discovered. Because then you’ve got a scandal."
"Benefactor Nation","Trait","Rescued from Annihilation",":KEY: One of your client races was not uplifted, but was a nation in decline. This client race can be taken in addition to the three possible Client Races. This client race can have 6 Common Traits, and 2 Nation Type traits from one of either Corporate, Cybernetic, Theocracy, Warlord or Industrialists. This failing nation however has 4 Common flaws. And 3 Nation type flaws from their chosen type."
"Benefactor Nation","Trait","Exotic Foods Markets","Your client species have a wide variety of foods, beverages and more. These make for potent trade options with the wider galaxy, assuming you are willing to let go of them instead of hogging the deliciousness all to yourself."
"Benefactor Nation","Trait","Familiarity Breeds Contempt","Your client races are actually a reasonable distance from your core systems, and as such they don’t feel the pressure of an overlord above them, this also secures you against threats that might rise against your Clients. Though it does also make it slower for you to respond to calls for aid."
"Benefactor Nation","Trait","Family Reunion","(Can be taken once. Replaces a standard Client Race) A Client race of yours is not actually another species at all, but a pre-FTL colony that had established itself in the system nearest your current capital. This nation retains some of its individuality, but instead of the default number of traits, this Client Race inherits fully half of your common traits and flaws of all categories… with one hiccup. You don’t get to choose them."
"Benefactor Nation","Trait","The Adoring Fans!","Your nation gains a client race that it had no hand in uplifting, they gain 8 Common Trait Points, 2 Common Flaws, 1 Nation Type Point and 1 Nation Flaw. (They cannot have a Client Race) The Adoring Fans have imprinted on your civilization after seeing it in action and ‘imprinted’ themselves on you trying to copy your example. (Must take Crazy Groupies! flaw.)"
"Benefactor Nation","Trait","Chemical Dependencies","You are a kind, caring and generous benefactor, the fact you have been using a tailor made chemical cocktail that is phenomenally addictive and, once addicted, vital to continue being alive is just a co-incidence, an accident of circumstance. We promise! Your clients are almost certainly resentful of these measures, but the likelihood of them causing problems before they figure out how to deal with the addictive substances you’ve laced the food and beverage supply with is slim. Hope they don’t quietly make friends with genetic talent."
"Benefactor Nation","Flaw","Uplifted Assholes","Not all uplifts are a good idea, unfortunately that’s a lesson you’re having to learn the hard way. You have one or more uplifted species who have proven to be a bad match for the uplift, their cultures being severely misaligned with your own with potentially hostile results, whether by virtue of being rebellious, or being easily subverted by cultures more palatable to them."
"Benefactor Nation","Flaw","Reticent Clients","You have called yourself a benevolent patron, uplifting those kind and good people with great promise, in exchange all you’ve asked for is their gratitude and a little… compensation. Unfortunately, you have not been as benevolent as you tell yourself and your clients are reluctant and find you overbearing, demanding and even a threat. Your clients will be reluctant and less helpful than you could hope. When the time comes to call the levies to aid their patron, you may find less help than you hope."
"Benefactor Nation","Flaw","Waste of Time","Some people accidentally uplift assholes, some people push their clients too far, you fucked up by uplifting about the worst possible candidate you could think of. You took a relatively unintelligent and disinterested species and uplifted them to have a hopefully more peaceful and calm client. What you got was a client whose only traits you managed to somehow elevate was the depths of their stupidity and disinterest. To call them lazy would be an understatement. You have to encourage them to even breed, without that they’d probably go extinct. Unfortunately, preventing such a client from apathy-ing itself to death is resource intensive."
"Benefactor Nation","Flaw","Extinction Trauma","Your people had uplifted a species to be near-peers and equals, they were great and you believed they even had the potential to surpass you. But through misfortune, malevolence or other circumstance they were wiped out and nothing your people did was able to prevent it leading to a near nationwide PTSD over the event that has led you to be more cautious and hesitant in becoming the patrons of another species."
"Benefactor Nation","Flaw","The Trauma of Being Left Behind","You succeeded! You created an equal! You.. created a successor. A far more successful successor who was not interested in elevating their allies with them, in fact they lost interest in the rest of the coalition entirely and surpassed you before simply departing this spacetime. This has lead you to being a marginally less than entirely benevolent overlord, intentionally or unintentionally acting to sabotage your clients to prevent them reaching, let alone surpassing, your own level of development."
"Benefactor Nation","Flaw","Self-Loathing Patrons","Your reasons for uplifting another people were not happy ones. For whatever reason, your main species absolutely hates themselves, inflicting far more misery upon themselves than they in any way deserve. It’s to the degree that your client peoples often find themselves roped into providing emergency mental health support for their benefactors."
"Benefactor Nation","Flaw","Crazy Groupies!","Your clients are not something you have any direct influence over, only ever doing their best to mimic and make themselves more like you, but annoying. Unfortunately, they very much have an idealised vision of your nation, and departing too far from that can turn your erstwhile clients into enemies that try and ‘correct’ your path."
"Biotech Empire","Trait","Regenerative","Your technology is adept at healing and recovering from all but the most catastrophic damage without significant external support, though it might need to be fed."
"Biotech Empire","Trait","Living Ships","(Requires Ageing Nation) Your ships are as much citizens as any people, alive, sapient and will eventually pass on like them too, but until then they are capable of total autonomy and actions that disable or cripple the crew are unlikely to affect the vessels themselves."
"Biotech Empire","Trait","Biosimulacra","You are capable of engineering spies that are very close to the host species as organic drones for the purposes of intelligence gathering."
"Biotech Empire","Trait","The spiders are here to fuck us (Requires","We're not here to fuck spiders): You have realized that your appearance is fundamentally repulsive. You have accepted it, maybe cried a little bit about it, and then you've come to realize that this makes you an all-natural psychological weapon. So you pushed the ick factor into overdrive. Now your appearance causes people to spontaneously crash their starships into random asteroids because you just jumpscared them.."
"Biotech Empire","Trait","Stranger Senses","The nature of biology can give things some senses lacking in machines. Instinct and senses for danger. Bred for these characteristics they become quite prevalent giving most creatures a form of sixth sense."
"Biotech Empire","Trait","Adaptive Evolution",":Key: You are capable of engaging in directed evolution on the fly in an effort to adapt to changing battlefield conditions, people die in droves."
"Biotech Empire","Trait","Biosphere Modification","The BioTech Empire can quickly adapt to new conditions upon the worlds it comes to settle upon. However this ability can’t be extended to their ships."
"Biotech Empire","Trait","Zerg Rush!","(Cannot take with Nidzilla!) You are dependent on masses of small easily mass produced troops. They are not very powerful, not very smart but that doesn’t matter when you can deploy a hundred for every average trooper another nation might field."
"Biotech Empire","Trait","Nidzilla!","(Cannot take with Zerg Rush!) The reverse side of the Zerg coin. You prefer to deploy massive monsters that are powerful, adaptable and armed to the very literal teeth."
